东乡 /ns 74	 [只不过/d, 东乡/ns, 先生/n, 
元村 /ns 25	  [和/cc, 元村/ns, 梨/nf, 
小田 /ns 18	 , 就是/v, 小田/ns, 先生/n, 
东京 /ns 11	 g, 回/v, 东京/nsf, 正式/ad
江都 /ns 5	 , 梨/nf, 江都/ns, 怔/v, 了
百老汇 /ns 3	 f, 或/c, 百老汇/ns, 看看/v, 
三明 /ns 3	  这些/rz, 三明/ns, 治/v, 也
江三 /ns 2	 由梨/nrj, 江三/ns, 人/n, 已
食品仓库 /ns 2	 , 看过/v, 食品仓库/ns, ，/w], 
茶都 /ns 1	 , 喝/vg, 茶都/ns, 懒/a, 了
苏格兰 /ns 1	  了/ule, 苏格兰/nsf, 威士忌/n
后冲 /ns 1	  招手/vi, 后冲/ns, 进来/vf,
印第安 /ns 1	 m, 首/q, 印第安/nsf, 童谣/n,
向东乡 /ns 1	 d, 会/v, 向东乡/ns, 报告/n, 
新进 /ns 1	  ，/w], [新进/ns, 演员/nnt
真如 /ns 1	 , 他/rr, 真如/ns, 雨/n, 宫
日本 /ns 1	  ，/w], [日本/ns, 有/vyou
双峰 /ns 1	 的/ude1, 双峰/ns, 。/w], 
吐舌头 /ns 1	  了/ule, 吐舌头/ns, 。/w], 
下元村 /ns 1	 , 只剩/v, 下元村/ns, 小姐/n, 
博爱 /ns 1	 d, 属/v, 博爱/ns, 主义/n, 
新登 /ns 1	 , 出现/v, 新登/ns, 场/qv, 
小树林 /ns 1	 m, 片/q, 小树林/ns, 旁/f, 时
成田 /ns 1	 , 赞/vg, 成田/ns, 所/usuo
法国 /ns 1	 的/ude1, 法国/nsf, 料理/v,
太旧 /ns 1	 i, 不/d, 太旧/ns, 的/ude1
中国 /ns 1	 , 主张/v, 中国/ns, 人/n, 很
