当时 /t 11	  。/w], [当时/t, ，/w], 
年前 /t 8	 , 半/mq, 年前/t, 认识/v, 
晚上 /t 5	 /ulian, 晚上/t, 都/d, 在
明天 /t 4	 , 我/rr, 明天/t, 要/v, 和
目前 /t 4	  ，/w], [目前/t, 已有/v, 
今后 /t 3	  [或许/d, 今后/t, 也/d, 会
一大早 /t 3	 , 打算/v, 一大早/t, 就/d, 出
今天 /t 2	  ，/w], [今天/t, 还/d, 需
现在 /t 2	  ，/w], [现在/t, 因/p, 听
刚才 /t 2	 , [在/p, 刚才/t, 那张/nr,
后来 /t 2	  ，/w], [后来/t, 知道/v, 
朝 /t 2	  回头/vi, 朝/tg, 两/m, 
婚后 /t 1	 , 知道/v, 婚后/t, 变成/v, 
近年 /t 1	  )/w], [近年/t, 备受瞩目/i
一早 /t 1	 , 明天/t, 一早/t, ，/w], 
今晚 /t 1	 v, 在/p, 今晚/t, 。/w], 
一瞬 /t 1	  。/w], [一瞬/t, ，/w], 
翌日 /t 1	 的/ude1, 翌日/t, ，/w], 
清晨 /t 1	 是/vshi, 清晨/t, 五/m, 时
晚 /t 1	 , 来/vf, 晚/tg, 了/ule
平时 /t 1	 q, 代/q, 平时/t, 是/vshi
来日 /t 1	  [以备/v, 来日/t, 之用/r, 
清 /t 1	 , 利用/v, 清/tg, b/nx,
昨 /t 1	 1, 眼/n, 昨/tg, 凝视着/n
夜 /t 1	 , 守灵/v, 夜/tg, ，/w],
最近 /t 1	 v, 在/p, 最近/t, 。/w], 
