现在 /t 148	 , [但/c, 现在/t, 商店/nis
朝 /t 85	 r, 也/d, 朝/tg, 下走/v,
今天 /t 70	 , [“/w, 今天/t, 不来/v, 
今后 /t 40	 是/vshi, 今后/t, 打算/v, 
刚才 /t 40	 w, 像/v, 刚才/t, 一样/uyy
最近 /t 31	 n, 店/n, 最近/t, 流行/v, 
晚上 /t 24	  。/w], [晚上/t, 很晚/d, 
将来 /t 23	 , [“/w, 将来/t, 跟/p, 你
当时 /t 20	  。/w], [当时/t, 没想/l, 
上次 /t 17	 v, 在/p, 上次/t, 搬家/vi,
下次 /t 17	  ！/w], [下次/t, 把/pba,
明天 /t 15	  是因为/c, 明天/t, 要/v, 被
后来 /t 12	  ，/w], [后来/t, 像是/v, 
下午 /t 10	 是/vshi, 下午/t, 三/m, 点
晚 /t 10	 v, 到/v, 晚/tg, 。/w],
昨天 /t 10	 , [“/w, 昨天/t, 说/v, 的
白天 /t 9	 , 平日/t, 白天/t, 有/vyou
早上 /t 9	 , 天/qt, 早上/t, ，/w], 
新年 /t 8	 t, 、/w, 新年/t, 。/w], 
三月 /t 8	 , [到/v, 三月/t, 底/f, 为
圣诞 /t 8	 l, 买/v, 圣诞/t, 蛋糕/nf,
今年 /t 7	 是/vshi, 今年/t, 刚/d, 高
去年 /t 7	 , [跟/p, 去年/t, 大不相同/i
圣诞节 /t 6	  [接近/v, 圣诞节/t, ，/w], 
上个月 /t 6	 , [可/v, 上个月/t, ，/w], 
夜里 /t 4	  ，/w], [夜里/t, 还要/d, 
当天 /t 4	 , 聊起/v, 当天/t, 社会上/nz
以往 /t 4	  [和/cc, 以往/t, 自己/rr,
年前 /t 4	 i, 四/m, 年前/t, 的/ude1
傍晚 /t 3	 的/ude1, 傍晚/t, ，/w], 
二月 /t 3	  [进入/v, 二月/t, 以后/f, 
除夕 /t 3	 , 就是/v, 除夕/t, 、/w, 新
周末 /t 3	 , [除/p, 周末/t, 外/f, 每
目前 /t 3	 , 陷入/v, 目前/t, 的/ude1
六月 /t 3	  [进/vf, 六月/t, 以后/f, 
假期 /t 3	 1, 休/v, 假期/t, ，/w], 
情人节 /t 3	 是/vshi, 情人节/t, ，/w], 
四月 /t 3	  。/w], [四月/t, 里/f, 的
周六 /t 3	 的/ude1, 周六/t, 。/w], 
秋天 /t 3	 , 前年/t, 秋天/t, 被/pbei
上周 /t 3	 , [到/v, 上周/t, 为止/u, 
平日 /t 3	 , 知道/v, 平日/t, 白天/t, 
春天 /t 2	 , 去年/t, 春天/t, 。/w], 
行前 /t 2	 v, 运/v, 行前/t, 允许/v, 
深夜 /t 2	  [那天/r, 深夜/t, ，/w], 
上午 /t 2	  [至少/d, 上午/t, 不能/v, 
今晚 /t 2	 , [但/c, 今晚/t, 的/ude1
冬天 /t 2	 是/vshi, 冬天/t, 就/d, 穿
星期天 /t 2	  ，/w], [星期天/t, 也/d, 没
周日 /t 2	 , 周六/t, 周日/t, ，/w], 
九月 /t 2	  了/ule, 九月/t, 可/v, 每
中旬 /t 2	  [四月/t, 中旬/t, 正式/ad,
往后 /t 2	  ，/w], [往后/t, 退/v, 着
未来 /t 2	 , 没有/v, 未来/t, 的/ude1
半夜 /t 2	 n, 到/v, 半夜/t, 。/w], 
中午 /t 2	 d, 到/v, 中午/t, 休息/v, 
夜 /t 2	 e, 一/m, 夜/tg, 。/w],
早晨 /t 2	  了/ule, 早晨/t, 的/ude1
前不久 /t 1	  [好像/v, 前不久/t, 还有/v, 
夏季 /t 1	 , 不如/v, 夏季/t, 。/w], 
暑假 /t 1	 , 除了/p, 暑假/t, 和/cc, 
事前 /t 1	 , 因为/c, 事前/t, 没有/v, 
十二月 /t 1	  [进入/v, 十二月/t, 后/f, 的
当今 /t 1	  [像是/v, 当今/t, 年轻人/n,
上月 /t 1	  ，/w], [上月/t, 写信/vi,
雨季 /t 1	 , 梅/ng, 雨季/t, 也许/d, 
春 /t 1	 e, 多/a, 春/tg, 鱼/n, 
下回 /t 1	  ，/w], [下回/t, 发/v, 奖
眼下 /t 1	  [也许/d, 眼下/t, 自己/rr,
从前 /t 1	 d, 比/p, 从前/t, 更为/d, 
现 /t 1	  [一发/d, 现/tg, 你/rr,
星期五 /t 1	  一个/mq, 星期五/t, ，/w], 
平时 /t 1	 v, 比/p, 平时/t, 更/d, 大
课后 /t 1	  ，/w], [课后/t, 来/vf, 
西周 /t 1	  ，/w], [西周/t, 排放/vn,
转瞬间 /t 1	  ，/w], [转瞬间/t, 就/d, 溢
凌晨 /t 1	 v, 到/v, 凌晨/t, 四/m, 点
往常 /t 1	 a, 像/v, 往常/t, 一样/uyy
晚年 /t 1	 的/ude1, 晚年/t, ，/w], 
明年 /t 1	  了/ule, 明年/t, 就/d, 搬
上年 /t 1	 是/vshi, 上年/t, 纪/ng, 
寒假 /t 1	 , 和/cc, 寒假/t, ，/w], 
当年 /t 1	 当娜/nrf, 当年/t, 没/d, 成
昨晚 /t 1	  [所以/c, 昨晚/t, 才/d, 会
前年 /t 1	 , [“/w, 前年/t, 秋天/t, 
七月 /t 1	  。/w], [七月/t, 份/q, 以
近期 /t 1	 , 打算/v, 近期/t, 把/pba,
周五 /t 1	 , [一/m, 周五/t, 天/qt, 
上星期 /t 1	 , [“/w, 上星期/t, 去/vf, 
星期六 /t 1	  。/w], [星期六/t, 的/ude1
