今天 /t 14	 [看样子/v, 今天/t, 可以/v, 
当时 /t 10	 , 记得/v, 当时/t, 孩子/n, 
白天 /t 8	 , 男人/n, 白天/t, 上班/vi,
下午 /t 7	  ，/w], [下午/t, 2/m, 点
目前 /t 7	  。/w], [目前/t, 虽然/c, 
现在 /t 6	  。/w], [现在/t, 东西/n, 
早上 /t 6	 , 天/qt, 早上/t, 广/a, 美
后来 /t 6	 [你们/rr, 后来/t, 茶道/n, 
昨天 /t 5	  ，/w], [昨天/t, 留下来/v,
朝 /t 5	 , [便/d, 朝/tg, 里头/f,
当天 /t 3	 , 案发/v, 当天/t, ，/w], 
最近 /t 3	  。/w], [最近/t, 刚买/nr,
晚上 /t 3	  。/w], [晚上/t, 7/m, 点
晚 /t 2	 , 看/v, 今晚/t, 派/v, 人
盛夏 /t 1	 是/vshi, 盛夏/t, ，/w], 
前年 /t 1	  ，/w], [前年/t, 用/p, 贷
傍晚 /t 1	  。/w], [傍晚/t, 从/p, 公
今晚 /t 1	 r, 看/v, 今晚/t, 派/v, 人
明天 /t 1	 得/ude3, 明天/t, 再来/d, 
月底 /t 1	 [上个月/t, 月底/t, 才/d, 从
上回 /t 1	 , 晚/tg, 上回/t, 去/vf, 
不久前 /t 1	  ，/w], [不久前/t, 还/d, 好
来时 /t 1	 戚朋友/nz, 来时/t, 时常/d, 
平日 /t 1	 , 大概/d, 平日/t, 勤于/v, 
前不久 /t 1	 之/uzhi, 前不久/t, ，/w], 
中午 /t 1	  。/w], [中午/t, 过后/v, 
上个月 /t 1	  。/w], [上个月/t, 月底/t, 
现时 /t 1	 n, 发/v, 现时/t, 一定会/nz
