当时 /t 269	  。/w], [当时/t, 就/d, 只
刚才 /t 65	  [就是/v, 刚才/t, 掩埋/v, 
现在 /t 44	  [你/rr, 现在/t, 带着/vn,
夜里 /t 35	 , 天/qt, 夜里/t, 。/w], 
去年 /t 34	  。/w], [去年/t, 十二月/t,
年前 /t 25	 p, 三/m, 年前/t, 开始/v, 
后来 /t 19	 , 哥哥/n, 后来/t, 的/ude1
昨天 /t 17	 , 君/ng, 昨天/t, 还/d, 踌
昨晚 /t 16	  是因为/c, 昨晚/t, 睡得/vi,
今天 /t 16	  看样子/v, 今天/t, 他/rr, 
目前 /t 14	  ，/w], [目前/t, 毕竟/d, 
眼下 /t 13	  ，/w], [眼下/t, 却/d, 并
最近 /t 13	 是/vshi, 最近/t, ，/w], 
傍晚 /t 12	 , [“/w, 傍晚/t, 我/rr, 
如今 /t 12	  ，/w], [如今/t, 的/ude1
朝 /t 11	 , 侧/ng, 朝/tg, 一旁/f,
明天 /t 10	  。/w], [明天/t, 开始/v, 
生前 /t 7	 , 丈夫/n, 生前/t, 与/cc, 
清晨 /t 6	 的/ude1, 清晨/t, ，/w], 
往常 /t 6	  了/ule, 往常/t, 那种/r, 
今晚 /t 6	 , [“/w, 今晚/t, 我们/rr,
今后 /t 6	 , [“/w, 今后/t, 可要/c, 
平日 /t 5	  。/w], [平日/t, 里/f, 他
晚 /t 5	 , 来/vf, 晚/tg, 了/ule
往后 /t 4	 oto/nx, 往后/t, 撩起/v, 
往日 /t 4	  ，/w], [往日/t, 她/rr, 
翌日 /t 4	 ……/w], [翌日/t, 晴/vi, 
晚上 /t 4	 , 参加/v, 晚上/t, 的/ude1
白天 /t 4	 , [“/w, 白天/t, 的/ude1
下次 /t 4	  ，/w], [下次/t, 就/d, 用
来时 /t 4	  [沿着/p, 来时/t, 的/ude1
一早 /t 3	 , 明天/t, 一早/t, ，/w], 
半夜 /t 3	  。/w], [半夜/t, 里/f, ，
前年 /t 3	  ，/w], [前年/t, 也/d, 是
中午 /t 3	 , 不到/v, 中午/t, ，/w], 
冬天 /t 3	  。/w], [冬天/t, 的/ude1
当初 /t 3	 d, 到/v, 当初/t, 哥哥/n, 
当年 /t 3	  公一/nr, 当年/t, 自杀/vi,
早晨 /t 3	  ，/w], [早晨/t, 六/m, 点
清早 /t 2	 , 一大/n, 清早/t, 就/d, 出
一大早 /t 2	 , 是从/v, 一大早/t, 就/d, 跑
十二月 /t 2	  [去年/t, 十二月/t, 时/qt, 
上次 /t 2	  [记得/v, 上次/t, 来/vf, 
早上 /t 2	 这天/rzt, 早上/t, 的/ude1
晨 /t 2	 , 晴/vi, 晨/tg, ，/w],
寒假 /t 2	 着/uzhe, 寒假/t, 到来/vi,
以往 /t 2	 3, 比/p, 以往/t, 更/d, 低
今年 /t 2	  。/w], [今年/t, 的/ude1
清 /t 2	 v, 不/d, 清/tg, 是/vsh
雪后 /t 1	 , 层积/n, 雪后/t, ，/w], 
当天 /t 1	 , [“/w, 当天/t, 空/ng, 
头天 /t 1	 的/ude1, 头天/t, 夜里/t, 
酒后 /t 1	 v, 以/p, 酒后/t, 坠/v, 崖
古代 /t 1	  英国/ns, 古代/t, 民族/n, 
转瞬间 /t 1	  ，/w], [转瞬间/t, 就/d, 会
会后 /t 1	 , 可能/v, 会后/t, 悔/vg, 
先前 /t 1	 旅馆/nis, 先前/t, 的/ude1
下午 /t 1	  。/w], [下午/t, ，/w], 
早年 /t 1	  ，/w], [早年/t, 丈夫/n, 
刹那间 /t 1	 n, 在/p, 刹那间/t, 变得/vi,
秋 /t 1	 , 夏至/t, 秋/tg, 的/ude
一瞬 /t 1	  了/ule, 一瞬/t, ，/w], 
明年 /t 1	 , 订到/v, 明年/t, 的/ude1
年中 /t 1	 p, 一/m, 年中/t, 的/ude1
上月 /t 1	 d, 爬/v, 上月/t, 台/q, 的
未来 /t 1	 v, 对/p, 未来/t, 的/ude1
转眼间 /t 1	  。/w], [转眼间/t, ，/w], 
从前 /t 1	 ……/w], [从前/t, 有/vyou
昨夜 /t 1	  了/ule, 昨夜/t, 的/ude1
夏至 /t 1	 , [由/p, 夏至/t, 秋/tg, 
平时 /t 1	 , 他/rr, 平时/t, 睡眠/vn,
十一月 /t 1	 的/ude1, 十一月/t, ，/w], 
二月 /t 1	 [去年/t, 十二月/t, 时/qt, 
中世纪 /t 1	 m, 股/q, 中世纪/t, 般的/u, 
秋季 /t 1	 z, 到/v, 秋季/t, ，/w], 
现时 /t 1	 , 露出/v, 现时/t, ，/w], 
饭前 /t 1	 , 晚/tg, 饭前/t, 都/d, 必
